URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.A,0.1.0,draft,,HIV_A,HIV.A  Registration CodeSystem,"CodeSystem for HIV.A  Registration Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.B,0.1.0,draft,,HIV_B,HIV.B HTS visit  CodeSystem,"CodeSystem for HIV.B HTS visit  Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.C,0.1.0,draft,,HIV_C,HIV.C PrEP visit  CodeSystem,"CodeSystem for HIV.C PrEP visit  Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Configuration,0.1.0,draft,,HIV_Configuration,HIV.Configuration CodeSystem,"CodeSystem for HIV.Configuration  Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.D,0.1.0,draft,,HIV_D,HIV.D  CodeSystem,"CodeSystem for HIV.D Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.EF,0.1.0,draft,,HIV_EF,HIV.E-F PMTCT  CodeSystem,"CodeSystem for HIV.E-F PMTCT  Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.G,0.1.0,draft,,HIV_G,HIV.G Diagnostics  CodeSystem,"CodeSystem for HIV.G Diagnostics  Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.H,0.1.0,draft,,HIV_M,HIV.H Follow-up  CodeSystem,"CodeSystem for HIV.H Follow-up  Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.I,0.1.0,draft,,HIV_I,HIV.I Referral  CodeSystem,"CodeSystem for HIV.I Referral Data Elements",
http://worldhealthorganization.github.io/smart/CodeSystem/HIV.Prevention,0.1.0,draft,,HIV_Prevention,HIV.Prevention  CodeSystem,"CodeSystem for HIV.Prevention Data Elements",
